Patente|Pedimento|SeccionAduanera|Fraccion|SecuenciaFraccion|SubdivisionFraccion|DescripcionMercancia|PrecioUnitario|ValorAduana|ValorComercial|ValorDolares|CantidadUMComercial|UnidadMedidaComercial|CantidadUMTarifa|UnidadMedidaTarifa|ValorAgregado|ClaveVinculacion|MetodoValorizacion|CodigoMercanciaProducto|MarcaMercanciaProducto|ModeloMercanciaProducto|PaisOrigenDestino|PaisCompradorVendedor|EntidadFedOrigen|EntidadFedDestino|EntidadFedComprador|EntidadFedVendedor|TipoOperacion|ClaveDocumento|FechaPagoReal
3251|2000162|160|73181606|2|03|TUERCA DE ACERO|2.29828|720569|720569|35281.00|313525.000|6|6918.88000|1|0|0|6||||TWN|TWN| | | | |1|IN|2022-01-13 17:02:02|
3129|1007258|170|73181606|1|03|TUERCA DE ACERO|1.05634|0|115247|5636.85|109100.000|6|1037.28000|1|0|0|0||||MEX|TWN| | | | |2|V1|2022-01-12 17:24:01|
3129|1007239|170|73181599|2|05|TORNILLO DE ACERO|1.84933|0|2774|135.98|1500.000|6|35.64000|1|0|0|0||||MEX|TWN| | | | |2|V1|2022-01-07 10:45:00|
3251|2000021|160|73181599|1|03|TORNILLO DE ACERO DE USO AUTOMOTRIZ|0.40925|89012|89012|4338.75|217500.000|6|963.45000|1|0|0|6||||TWN|TWN| | | | |1|IN|2022-01-04 16:25:01|
3129|1007244|170|73182999|10|99|PIN DE ACERO|24.43286|0|615708|30240.00|25200.000|6|1961.40000|1|0|0|0||||MEX|TWN| | | | |2|V1|2022-01-17 18:23:00|
3129|1007240|170|73181599|1|03|TORNILLO DE USO AUTOMOTRIZ|0.92359|0|102057|4984.66|110500.000|6|1229.95000|1|0|0|0||||MEX|TWN| | | | |2|V1|2022-01-06 18:14:00|
3129|1007251|170|73181606|2|03|TUERCA DE ACERO|1.08429|0|37625|1842.20|34700.000|6|318.67000|1|0|0|0||||MEX|TWN| | | | |2|V1|2022-01-11 12:45:00|
3251|2000163|160|73182302|4|99|REMACHE DE ACERO|2.70872|398723|398723|19522.56|147200.000|6|4280.32000|1|0|0|6||||TWN|TWN| | | | |1|IN|2022-01-13 16:07:01|
3129|1007242|170|87082999|4|99|ENSAMBLE DE ACERO CON TUERCA DE ACERO|6.56792|0|15763|765.60|2400.000|6|2400.00000|6|0|0|0||||MEX|TWN| | | | |2|V1|2022-01-05 15:18:01|
3129|1007244|170|73181599|2|03|TORNILLO DE ACERO|3.35957|0|178393|8761.64|53100.000|6|892.68000|1|0|0|0||||MEX|TWN| | | | |2|V1|2022-01-17 18:23:00|
3129|1007252|170|73181606|2|04|TUERCA DE ACERO|3.06689|0|13801|675.00|4500.000|6|198.00000|1|0|0|0||||MEX|TWN| | | | |2|V1|2022-01-12 08:54:01|
3129|1007247|170|73182999|4|99|PERNO SIN ROSCA|0.97286|0|19749|969.13|20300.000|6|263.63000|1|0|0|0||||MEX|TWN| | | | |2|V1|2022-01-13 12:08:00|
3129|1007245|170|73269099|4|99|ESPACIADOR DE ACERO|2.35805|0|49519|2422.00|21000.000|6|390.20000|1|0|0|0||||MEX|TWN| | | | |2|V1|2022-01-12 08:54:01|
3129|1007245|170|73181599|1|03|TORNILLO DE ACERO DE USO AUTOMOTRIZ|3.76208|0|9029|441.60|2400.000|6|46.24000|1|0|0|0||||MEX|TWN| | | | |2|V1|2022-01-12 08:54:01|
3251|2000019|160|73181606|2|03|TUERCA DE ACERO|0.74288|343581|343581|16747.24|462500.000|6|4959.90000|1|0|0|6||||TWN|TWN| | | | |1|IN|2022-01-04 13:53:01|
3129|1007236|170|73181599|2|05|TORNILLO DE ACERO|1.66064|0|82700|4071.52|49800.000|6|1027.67000|1|0|0|0||||MEX|TWN| | | | |2|V1|2022-01-18 17:18:02|
3129|1007238|170|73181606|3|03|TUERCA DE ACERO|2.05982|0|1699266|83436.42|824960.000|6|22068.40000|1|0|0|0||||MEX|TWN| | | | |2|V1|2022-01-14 16:21:01|
3251|2000021|160|73269099|4|99|ESPACIADOR DE ACERO|11.97344|549581|549581|26788.32|45900.000|6|8839.35000|1|0|0|6||||TWN|TWN| | | | |1|IN|2022-01-04 16:25:01|
3251|2000026|160|73182302|4|99|REMACHE DE ACERO|0.81179|19483|19483|949.66|24000.000|6|190.16000|1|0|0|6||||TWN|TWN| | | | |1|IN|2022-01-04 13:53:03|
3251|2000027|160|73181606|2|03|TUERCA DE ACERO|1.65360|519396|519396|25317.01|314100.000|6|5267.61000|1|0|0|6||||TWN|TWN| | | | |1|IN|2022-01-04 14:00:01|
3129|1007244|170|73181606|3|03|TUERCA DE ACERO|3.08785|0|1232701|60543.14|399210.000|6|4149.15000|1|0|0|0||||MEX|TWN| | | | |2|V1|2022-01-17 18:23:00|
3251|2000026|160|73181599|2|99|PERNO CON ROSCA|9.23220|24373|24373|1188.00|2640.000|6|236.72000|1|0|0|6||||TWN|TWN| | | | |1|IN|2022-01-04 13:53:03|
3251|2000163|160|73181606|2|03|TUERCA DE ACERO|1.84625|1910410|1910410|93538.88|1034750.000|6|22224.72000|1|0|0|6||||TWN|TWN| | | | |1|IN|2022-01-13 16:07:01|
3172|2000016|640|73181606|1|03|TUERCAS DE ACERO|75.72853|268079|268079|13098.00|3540.000|6|442.50000|1|0|0|1||||TWN|TWN| | | | |1|IN|2022-01-05 15:51:05|
3251|2000164|160|73182999|4|99|PERNO SIN ROSCA, PIN METALICO|1.55167|55860|55860|2735.04|36000.000|6|765.92000|1|0|0|6||||TWN|TWN| | | | |1|IN|2022-01-13 16:08:00|
3129|1007245|170|73182302|3|99|REMACHE DE ACERO|3.47567|0|20854|1020.00|6000.000|6|124.20000|1|0|0|0||||MEX|TWN| | | | |2|V1|2022-01-12 08:54:01|
3251|2000026|160|73269099|5|99|ESPACIADOR DE ACERO, GANCHO DE ACERO|12.45470|1869139|1869139|91107.73|150075.000|6|31747.05000|1|0|0|6||||TWN|TWN| | | | |1|IN|2022-01-04 13:53:03|
3129|1007243|170|73181599|2|05|TORNILLO DE ACERO|1.16716|0|71197|3477.40|61000.000|6|1150.64000|1|0|0|0||||MEX|TWN| | | | |2|V1|2022-01-06 15:25:00|
3251|2000022|160|73269099|3|99|ESPACIADOR DE ACERO, GANCHO DE ACERO|6.58012|638107|638107|31103.33|96975.000|6|12332.17000|1|0|0|6||||TWN|TWN| | | | |1|IN|2022-01-04 16:25:02|
3251|2000027|160|73269099|5|99|ESPACIADOR DE ACERO, GANCHO DE ACERO|8.38594|647185|647185|31545.86|77175.000|6|10570.86000|1|0|0|6||||TWN|TWN| | | | |1|IN|2022-01-04 14:00:01|
3251|2000021|160|73181599|2|05|TORNILLO DE ACERO|0.75907|40990|40990|1998.00|54000.000|6|580.05000|1|0|0|6||||TWN|TWN| | | | |1|IN|2022-01-04 16:25:01|
